RR_Location,RR_Latitude,RR_Longitude,Station_ID,Station_Name,Station_Address,Station_City,Station_State,Station_Zip,Station_Latitude,Station_Longitude,Distance,Unleaded_Regular_Price,Unleaded_Plus_Price,Unleaded_Premium_Price,Diesel_Regular_Price,Brand,Phone,Excellent_Price,Current_Price,Transaction_Time,Transaction_Time_Ms,API_Updated,API_Updated_Time,API_Station_ID
"Road Ranger #181 - Springfield, IL",39.7128674,-89.648992,"ROAD RANGER 181|500 Toronto Road, Springfield, IL 62711|Springfield","ROAD RANGER 181|500 Toronto Road, Springfield, IL 62711|Springfield","500 Toronto Road, Springfield, IL 62711",Springfield,IL,,39.7128674,-89.648992,0.0,3.999,4.499,4.949,4.999,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561125+00:00,
"Road Ranger #185 - McLean, IL",40.3179987,-89.1690822,"ROAD RANGER 185|315 Dixie Rd. Suite A, McLean, IL 61754|McLean","ROAD RANGER 185|315 Dixie Rd. Suite A, McLean, IL 61754|McLean","315 Dixie Rd. Suite A, McLean, IL 61754",McLean,IL,,40.3179987,-89.1690822,0.0,3.999,4.499,4.999,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561135+00:00,
"Road Ranger #186 - Minonk, IL",40.9134707,-89.0534671,"ROAD RANGER 186|1311 Carolyn Dr., Minonk, IL 61760|Minonk","ROAD RANGER 186|1311 Carolyn Dr., Minonk, IL 61760|Minonk","1311 Carolyn Dr., Minonk, IL 61760",Minonk,IL,,40.9134707,-89.0534671,0.0,3.859,4.359,4.809,5.089,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561145+00:00,
"Road Ranger #187 - Chicago, IL",41.831278,-87.6946279,"ROAD RANGER 187|3401 S California Ave, Chicago, IL 60608|Chicago","ROAD RANGER 187|3401 S California Ave, Chicago, IL 60608|Chicago","3401 S California Ave, Chicago, IL 60608",Chicago,IL,,41.831278,-87.6946279,0.0,4.349,4.749,5.149,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561163+00:00,
"Road Ranger #203 - Rockford, IL",42.2085811,-89.1076044,"ROAD RANGER 203|4980 S. Main St., Rockford, IL 61102|Rockford","ROAD RANGER 203|4980 S. Main St., Rockford, IL 61102|Rockford","4980 S. Main St., Rockford, IL 61102",Rockford,IL,,42.2085811,-89.1076044,0.0,4.249,4.749,5.199,4.839,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561176+00:00,
"Road Ranger #205 - South Beloit, IL",42.4909647,-88.9992534,"ROAD RANGER 205|6070 Gardner St., South Beloit, IL 61080|South Beloit","ROAD RANGER 205|6070 Gardner St., South Beloit, IL 61080|South Beloit","6070 Gardner St., South Beloit, IL 61080",South Beloit,IL,,42.4909647,-88.9992534,0.0,3.899,4.499,4.999,5.349,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561189+00:00,
"Road Ranger #206 - Winnebago, IL",42.2802763,-89.2422629,"ROAD RANGER 206|902 N. Elida St., Winnebago, IL 61088|Winnebago","ROAD RANGER 206|902 N. Elida St., Winnebago, IL 61088|Winnebago","902 N. Elida St., Winnebago, IL 61088",Winnebago,IL,,42.2802763,-89.2422629,0.0,3.999,4.499,4.949,5.099,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561203+00:00,
"Road Ranger #209 - Oakdale, WI",43.9636232,-90.3757182,"ROAD RANGER 209|102 E.Woody St., Oakdale, WI 54660|Oakdale","ROAD RANGER 209|102 E.Woody St., Oakdale, WI 54660|Oakdale","102 E.Woody St., Oakdale, WI 54660",Oakdale,WI,,43.9636232,-90.3757182,0.0,3.699,4.199,4.699,4.799,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561217+00:00,
"Road Ranger #210 - Rochelle, IL",41.9338987,-89.0349575,"ROAD RANGER 210|890 E. IL Route 38, Rochelle, IL 61068|Rochelle","ROAD RANGER 210|890 E. IL Route 38, Rochelle, IL 61068|Rochelle","890 E. IL Route 38, Rochelle, IL 61068",Rochelle,IL,,41.9338987,-89.0349575,0.0,3.939,4.639,5.039,5.299,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561229+00:00,
"Road Ranger #211 - Loves Park, IL",42.3195639,-88.9693605,"ROAD RANGER 211|7500 E. Riverside Blvd., Loves Park, IL 61111|Loves Park","ROAD RANGER 211|7500 E. Riverside Blvd., Loves Park, IL 61111|Loves Park","7500 E. Riverside Blvd., Loves Park, IL 61111",Loves Park,IL,,42.3195639,-88.9693605,0.0,4.199,4.749,5.299,4.899,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561243+00:00,
"Road Ranger #225 - Princeton, IL",41.4031053,-89.4689005,"ROAD RANGER 225|2835 North Main St., Princeton, IL 61356|Princeton","ROAD RANGER 225|2835 North Main St., Princeton, IL 61356|Princeton","2835 North Main St., Princeton, IL 61356",Princeton,IL,,41.4031053,-89.4689005,0.0,4.199,4.399,4.899,5.099,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561254+00:00,
"Road Ranger #226 - Greenwood, IN ",39.6136413,-86.0711201,"ROAD RANGER 226|1615 East Main St., Greenwood, IN 46143|Greenwood","ROAD RANGER 226|1615 East Main St., Greenwood, IN 46143|Greenwood","1615 East Main St., Greenwood, IN 46143",Greenwood,IN,,39.6136413,-86.0711201,0.0,4.199,4.699,5.199,5.299,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561268+00:00,
"Road Ranger #235 - Hampshire, IL",42.149425,-88.5115959,"ROAD RANGER 235|19N681 US-20, Hampshire, IL 60140|Hampshire","ROAD RANGER 235|19N681 US-20, Hampshire, IL 60140|Hampshire","19N681 US-20, Hampshire, IL 60140",Hampshire,IL,,42.149425,-88.5115959,0.0,4.299,4.899,5.399,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561282+00:00,
"Road Ranger #236 - East Troy, WI",42.7906328,-88.3891736,"ROAD RANGER 236|1946 Energy Dr., East Troy, WI 53120|East Troy","ROAD RANGER 236|1946 Energy Dr., East Troy, WI 53120|East Troy","1946 Energy Dr., East Troy, WI 53120",East Troy,WI,,42.7906328,-88.3891736,0.0,,,,4.799,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561296+00:00,
"Road Ranger #240 - Lake Station, IN",41.5785273,-87.2396748,"ROAD RANGER 240|2151 Ripley St., Lake Station, IN 46405|Lake Station","ROAD RANGER 240|2151 Ripley St., Lake Station, IN 46405|Lake Station","2151 Ripley St., Lake Station, IN 46405",Lake Station,IN,,41.5785273,-87.2396748,0.0,4.039,4.539,5.039,5.099,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561310+00:00,
"Road Ranger #242 - Saint Robert, MO",37.8362414,-92.0993155,"ROAD RANGER 242|22345 Highway 28, St. Roberts, MO 65584|Saint Robert","ROAD RANGER 242|22345 Highway 28, St. Roberts, MO 65584|Saint Robert","22345 Highway 28, St. Roberts, MO 65584",Saint Robert,MO,,37.8362414,-92.0993155,0.0,3.299,3.599,3.899,4.949,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561325+00:00,
"Road Ranger #263 - Ottawa, IL",41.3789124,-88.7772025,"ROAD RANGER 263|3041 North IL Route 71, Ottawa, IL 61350|Ottawa","ROAD RANGER 263|3041 North IL Route 71, Ottawa, IL 61350|Ottawa","3041 North IL Route 71, Ottawa, IL 61350",Ottawa,IL,,41.3789124,-88.7772025,0.0,4.199,4.749,5.149,5.099,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561338+00:00,
"Road Ranger #265 - Dixon, IL",41.8225492,-89.4751038,"ROAD RANGER 265|1801 South Galena Avenue, Dixon, IL 61021|Dixon","ROAD RANGER 265|1801 South Galena Avenue, Dixon, IL 61021|Dixon","1801 South Galena Avenue, Dixon, IL 61021",Dixon,IL,,41.8225492,-89.4751038,0.0,4.199,4.699,5.149,4.999,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561351+00:00,
"Road Ranger #266 - New Berlin, IL",39.7325419,-89.9245933,"ROAD RANGER 266|700 King Rd, New Berlin, IL 62670|New Berlin","ROAD RANGER 266|700 King Rd, New Berlin, IL 62670|New Berlin","700 King Rd, New Berlin, IL 62670",New Berlin,IL,,39.7325419,-89.9245933,0.0,3.799,3.699,4.149,5.339,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561363+00:00,
"Road Ranger #267 - Pharr, TX",26.09359295729959,-98.20167933101634,"ROAD RANGER 267|10602 S. Cage Blvd, Pharr, TX 78577|Pharr","ROAD RANGER 267|10602 S. Cage Blvd, Pharr, TX 78577|Pharr","10602 S. Cage Blvd, Pharr, TX 78577",Pharr,TX,,26.09359295729959,-98.20167933101634,0.0,3.499,4.099,4.499,5.099,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561382+00:00,
"Road Ranger #268 - Grayville, IL",38.2401076,-87.9991526,"ROAD RANGER 268|1776 S Court St., Grayville, IL 62844|Grayville","ROAD RANGER 268|1776 S Court St., Grayville, IL 62844|Grayville","1776 S Court St., Grayville, IL 62844",Grayville,IL,,38.2401076,-87.9991526,0.0,3.999,4.599,5.099,5.279,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561396+00:00,
"Road Ranger #269 - Marshall, IL",39.4244757,-87.6917016,"ROAD RANGER 269|2003 IL Hwy 1, Marshall, IL 62441|Marshall","ROAD RANGER 269|2003 IL Hwy 1, Marshall, IL 62441|Marshall","2003 IL Hwy 1, Marshall, IL 62441",Marshall,IL,,39.4244757,-87.6917016,0.0,4.099,4.699,5.199,5.149,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561408+00:00,
"Road Ranger #270 - Moore, TX",29.0290735,-99.0507167,"ROAD RANGER 270|9977 North Interstate 35, Moore, TX 78057|Moore","ROAD RANGER 270|9977 North Interstate 35, Moore, TX 78057|Moore","9977 North Interstate 35, Moore, TX 78057",Moore,TX,,29.0290735,-99.0507167,0.0,3.499,3.999,4.349,5.149,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561428+00:00,
"Road Ranger #271 - Odessa, TX",31.7638389,-102.3653369,"ROAD RANGER 271|10490 West Interstate 20, Odessa, TX 79763|Odessa","ROAD RANGER 271|10490 West Interstate 20, Odessa, TX 79763|Odessa","10490 West Interstate 20, Odessa, TX 79763",Odessa,TX,,31.7638389,-102.3653369,0.0,3.589,4.089,4.539,5.349,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561453+00:00,
"Road Ranger #272 - Encinal, TX",28.0469596,-99.3485642,"ROAD RANGER 272|45 East State Highway 44, Encinal, TX 78019|Encinal","ROAD RANGER 272|45 East State Highway 44, Encinal, TX 78019|Encinal","45 East State Highway 44, Encinal, TX 78019",Encinal,TX,,28.0469596,-99.3485642,0.0,3.399,3.899,4.299,5.239,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561473+00:00,
"Road Ranger #273 - Combes, TX",26.248973,-97.7290958,"ROAD RANGER 273|18337 Templeton Ave., Combes, TX 78535|Combes","ROAD RANGER 273|18337 Templeton Ave., Combes, TX 78535|Combes","18337 Templeton Ave., Combes, TX 78535",Combes,TX,,26.248973,-97.7290958,0.0,3.379,3.879,4.229,5.339,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561492+00:00,
"Road Ranger #275 - Sonora, TX",30.580391,-100.646245,"ROAD RANGER 275|601 US-277, Sonora, TX 76950|Sonora","ROAD RANGER 275|601 US-277, Sonora, TX 76950|Sonora","601 US-277, Sonora, TX 76950",Sonora,TX,,30.580391,-100.646245,0.0,3.899,4.399,4.899,5.649,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561511+00:00,
"Road Ranger #276 - Waco, TX",31.6506875,-97.0989245,"ROAD RANGER 276|6615 North Interstate Highway 35, Waco, TX 76705|Waco","ROAD RANGER 276|6615 North Interstate Highway 35, Waco, TX 76705|Waco","6615 North Interstate Highway 35, Waco, TX 76705",Waco,TX,,31.6506875,-97.0989245,0.0,3.529,4.129,4.529,5.249,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561530+00:00,
"Road Ranger #277 - New Boston, TX",33.4772576,-94.4104669,"ROAD RANGER 277|907 N. McCoy Blvd., New Boston, TX 75570|New Boston","ROAD RANGER 277|907 N. McCoy Blvd., New Boston, TX 75570|New Boston","907 N. McCoy Blvd., New Boston, TX 75570",New Boston,TX,,33.4772576,-94.4104669,0.0,3.499,4.099,4.499,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561547+00:00,
"Road Ranger #278 - Brinkley, AR",34.912517,-91.193759,"ROAD RANGER 278|2202 N. Main St., Brinkley, AR 72021|Brinkley","ROAD RANGER 278|2202 N. Main St., Brinkley, AR 72021|Brinkley","2202 N. Main St., Brinkley, AR 72021",Brinkley,AR,,34.912517,-91.193759,0.0,3.499,4.099,4.599,5.099,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561564+00:00,
"Road Ranger #279 - Marion, IL",37.6197159,-88.9859542,"ROAD RANGER 279|1701 Route 148, Marion, IL 62959|Marion","ROAD RANGER 279|1701 Route 148, Marion, IL 62959|Marion","1701 Route 148, Marion, IL 62959",Marion,IL,,37.6197159,-88.9859542,0.0,3.999,4.499,4.999,5.649,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561586+00:00,
"Road Ranger #280 - Monahans, TX",31.5694524,-102.9074723,"ROAD RANGER 280|2300 TX-464 Loop Rd., Monahans, TX 97956|Monahans","ROAD RANGER 280|2300 TX-464 Loop Rd., Monahans, TX 97956|Monahans","2300 TX-464 Loop Rd., Monahans, TX 97956",Monahans,TX,,31.5694524,-102.9074723,0.0,3.759,4.359,4.659,5.499,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561607+00:00,
"Road Ranger #281 - Cisco, TX",32.3732195,-98.9691457,"ROAD RANGER 281|202 INTERSTATE 20 FRONTAGE RD., Cisco, TX 76437|Cisco","ROAD RANGER 281|202 INTERSTATE 20 FRONTAGE RD., Cisco, TX 76437|Cisco","202 INTERSTATE 20 FRONTAGE RD., Cisco, TX 76437",Cisco,TX,,32.3732195,-98.9691457,0.0,3.899,4.399,4.749,5.239,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561627+00:00,
"Road Ranger #282 - Gainesville, TX",33.6698776,-97.1523269,"ROAD RANGER 282|3703 I-35, Gainesville, TX 76240|Gainesville","ROAD RANGER 282|3703 I-35, Gainesville, TX 76240|Gainesville","3703 I-35, Gainesville, TX 76240",Gainesville,TX,,33.6698776,-97.1523269,0.0,3.499,3.999,4.349,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561645+00:00,
"Road Ranger #283 - Sealy, TX",29.7512182,-96.2665791,"ROAD RANGER 283|1848 Beckendorff Road, Sealy, TX 77474|Sealy","ROAD RANGER 283|1848 Beckendorff Road, Sealy, TX 77474|Sealy","1848 Beckendorff Road, Sealy, TX 77474",Sealy,TX,,29.7512182,-96.2665791,0.0,3.699,4.149,4.549,5.489,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561665+00:00,
"Road Ranger #284 - New Deal, TX",33.7366181,-101.8434558,"ROAD RANGER 284|70 S Aspen Ave, Lubbock, TX 79403|New Deal","ROAD RANGER 284|70 S Aspen Ave, Lubbock, TX 79403|New Deal","70 S Aspen Ave, Lubbock, TX 79403",New Deal,TX,,33.7366181,-101.8434558,0.0,3.199,3.599,3.999,5.239,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561686+00:00,
"Road Ranger #285 - Seguin, TX",29.5713702,-98.0119416,"ROAD RANGER 285|2460 FM 464, Seguin, TX 78155|Seguin","ROAD RANGER 285|2460 FM 464, Seguin, TX 78155|Seguin","2460 FM 464, Seguin, TX 78155",Seguin,TX,,29.5713702,-98.0119416,0.0,3.489,4.089,4.489,5.129,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561706+00:00,
"Road Ranger #286 - Amarillo, TX",35.1934938,-101.7077997,"ROAD RANGER 286|11215 E I-40, Amarillo, TX 79118|Amarillo","ROAD RANGER 286|11215 E I-40, Amarillo, TX 79118|Amarillo","11215 E I-40, Amarillo, TX 79118",Amarillo,TX,,35.1934938,-101.7077997,0.0,3.159,3.459,3.859,4.949,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561726+00:00,
"Road Ranger #287 - Bourbonnais, IL",41.20627790265876,-87.8709137380383,"ROAD RANGER 287|5210 Quebec Dr, Bourbonnais, IL 60914|Bourbonnais","ROAD RANGER 287|5210 Quebec Dr, Bourbonnais, IL 60914|Bourbonnais","5210 Quebec Dr, Bourbonnais, IL 60914",Bourbonnais,IL,,41.20627790265876,-87.8709137380383,0.0,3.969,4.569,5.069,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561742+00:00,
"Road Ranger #289 - Teague, TX",31.5964732,-96.1467748,"ROAD RANGER 289|776 TX-179, Teague, TX 75860|Teague","ROAD RANGER 289|776 TX-179, Teague, TX 75860|Teague","776 TX-179, Teague, TX 75860",Teague,TX,,31.5964732,-96.1467748,0.0,3.239,3.739,4.139,5.419,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561765+00:00,
"Road Ranger #290 - Joplin, MO",37.0674002,-94.4032877,"ROAD RANGER 290|2101 S. Prigmor Avenue, Joplin, MO 64804|Joplin","ROAD RANGER 290|2101 S. Prigmor Avenue, Joplin, MO 64804|Joplin","2101 S. Prigmor Avenue, Joplin, MO 64804",Joplin,MO,,37.0674002,-94.4032877,0.0,3.159,3.559,3.959,4.899,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561784+00:00,
"Road Ranger #312 - Vidor, TX",30.131185,-93.959974,"ROAD RANGER 312|17160 Interstate Hwy 10, Vidor, TX 77662|Vidor","ROAD RANGER 312|17160 Interstate Hwy 10, Vidor, TX 77662|Vidor","17160 Interstate Hwy 10, Vidor, TX 77662",Vidor,TX,,30.131185,-93.959974,0.0,3.499,4.099,4.499,5.549,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561805+00:00,
"Road Ranger #315 - Laredo, TX",27.6536303,-99.5632614,"ROAD RANGER 315|20002 Mines Rd FM 1472, Laredo, TX 78045|Laredo","ROAD RANGER 315|20002 Mines Rd FM 1472, Laredo, TX 78045|Laredo","20002 Mines Rd FM 1472, Laredo, TX 78045",Laredo,TX,,27.6536303,-99.5632614,0.0,3.299,3.799,4.149,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561827+00:00,
"Road Ranger #319 - Milford, TX",32.1336355,-96.952332,"ROAD RANGER 319|900 W Water St., Milford, TX 76670|Milford","ROAD RANGER 319|900 W Water St., Milford, TX 76670|Milford","900 W Water St., Milford, TX 76670",Milford,TX,,32.1336355,-96.952332,0.0,3.299,3.799,4.149,4.979,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561847+00:00,
"Road Ranger #323 - Canton, TX",32.5820887,-95.8741616,"ROAD RANGER 323|13951 FM 859, Canton, TX 75103|Canton","ROAD RANGER 323|13951 FM 859, Canton, TX 75103|Canton","13951 FM 859, Canton, TX 75103",Canton,TX,,32.5820887,-95.8741616,0.0,3.479,4.079,4.479,5.199,ROAD RANGER,,False,False,,,Yes,2026-03-26T18:04:48.561867+00:00,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2285|3001 RIDGE AVE|SPRINGFIELD,CASEYS #2285,3001 RIDGE AVE,SPRINGFIELD,IL,62702-4559,39.818345,-89.606344,1.44,3.999,,,5.199,CASEY'S GENERAL STORE,2175288754,,,03/26/2026 11:59:13 PM,,Yes,2026-03-26T18:14:42.928870+00:00,2285
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 00190|2201 N DIRKSEN PKWY|SPRINGFIELD,CIRCLE K # 00190,2201 N DIRKSEN PKWY,SPRINGFIELD,IL,62702-1401,39.83149,-89.60482,1.09,3.999,4.699,5.099,5.199,CIRCLE K,2175228216,,,2026-03-25 11:10:00.0,,Yes,2026-03-26T18:14:45.268988+00:00,4701303
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 01303|2120 N DIRKSEN PKWY|SPRINGFIELD,CIRCLE K # 01303,2120 N DIRKSEN PKWY,SPRINGFIELD,IL,62702-2121,39.8306,-89.60485,1.09,3.999,4.699,5.099,,CIRCLE K,2175280284,,,2026-03-25 02:55:00.0,,Yes,2026-03-26T18:14:47.349193+00:00,4700190
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SHELL SERVICE STATIO|2121 N DIRKSEN PKWY|SPRINGFIELD,SHELL SERVICE STATIO,2121 N DIRKSEN PKWY,SPRINGFIELD,IL,62702-2120,39.83071598,-89.60533316,1.17,4.099,,4.999,,SHELL,,False,True,2026-03-26T16:13:36.097000,1774541616097,No,,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,TA Express Riverton|2855 OVERPASS ROAD|RIVERTON,TA Express Riverton,2855 OVERPASS ROAD,RIVERTON,IL,62561,39.84215488,-89.5216767,3.38,,,,5.099,TA-Petro,3099254217,,,2026-03-26T18:19:19.278933+00:00,,Yes,2026-03-26T18:19:19.278972+00:00,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SPEEDWAY 03961|4895 DINIUS RD|WILLIAMSVILLE,SPEEDWAY 03961,4895 DINIUS RD,WILLIAMSVILLE,IL,62693-9207,39.96176,-89.561101,9.15,3.999,4.599,5.099,5.079,SPEEDWAY,2175662622,,,3 minutes ago,,Yes,2026-03-26T18:18:38.603361+00:00,
"Road Ranger #132 - Champaign, IL",40.17769,-88.240499,CIRCLE K # 1413|507 W UNIVERSITY AVE|URBANA,CIRCLE K # 1413,507 W UNIVERSITY AVE,URBANA,IL,61801,40.116489,-88.212916,4.47,3.989,4.689,4.989,5.299,CIRCLE K,2173448723,,,2026-03-26 07:05:00.0,,Yes,2026-03-26T18:14:49.431754+00:00,4701413
"Road Ranger #132 - Champaign, IL",40.17769,-88.240499,MEIJER STORE #146|2401 N PROSPECT AVE|CHAMPAIGN,MEIJER STORE #146,2401 N PROSPECT AVE,CHAMPAIGN,IL,61822-1233,40.142642,-88.257911,2.59,3.919,4.419,4.919,4.789,MEIJER,2173534000,,,2026-03-23T11:23:57.713,,Yes,2026-03-26T18:19:34.148157+00:00,146
"Road Ranger #132 - Champaign, IL",40.17769,-88.240499,MURPHY 7231 ATWALMRT|2602 N PROSPECT AVE|CHAMPAIGN,MURPHY 7231 ATWALMRT,2602 N PROSPECT AVE,CHAMPAIGN,IL,61822-1251,40.146662,-88.257988,2.33,3.879,4.419,5.019,4.999,MURPHY USA,8708816817,,,2026-03-25T17:27:17.283Z,,Yes,2026-03-26T18:18:52.536441+00:00,
