RR_Location,RR_Latitude,RR_Longitude,Station_ID,Station_Name,Station_Address,Station_City,Station_State,Station_Zip,Station_Latitude,Station_Longitude,Distance,Unleaded_Regular_Price,Unleaded_Plus_Price,Unleaded_Premium_Price,Diesel_Regular_Price,Brand,Phone,Excellent_Price,Current_Price,Transaction_Time,Transaction_Time_Ms,API_Updated,API_Updated_Time
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 01253|2760 N OAKLAND AVE|DECATUR,CIRCLE K # 01253,2760 N OAKLAND AVE,DECATUR,IL,62526-3199,39.871651,-88.972978,32.55,2.749,,,,CIRCLE K,2178726037,True,True,2026-02-09T02:41:58.501000,1770604918501,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,BP 6455182|2185 E WOOD ST|DECATUR,BP 6455182,2185 E WOOD ST,DECATUR,IL,62521-3178,39.841087,-88.926457,34.91,2.759,,,,BP PRODUCTS NA,2174233484,False,False,2026-02-04T13:23:47.223000,1770211427223,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,MURPHY 5809 ATWALMRT|1201 W FERDON ST|LITCHFIELD,MURPHY 5809 ATWALMRT,1201 W FERDON ST,LITCHFIELD,IL,62056-4444,39.18273,-89.66819,44.98,2.789,,,,MURPHY USA,8708816817,True,True,2026-02-08T19:10:19.317000,1770577819317,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,GAS MART 80|517 E UNION AVE|LITCHFIELD,GAS MART 80,517 E UNION AVE,LITCHFIELD,IL,62056-1636,39.178057,-89.650462,45.22,2.789,,,,PHILLIPS 66,9999999999,True,True,2026-02-08T21:00:01.507000,1770584401507,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,ONE 9 MR FUEL|4 CORVETTE DR|LITCHFIELD,ONE 9 MR FUEL,4 CORVETTE DR,LITCHFIELD,IL,62056,39.176555,-89.675134,45.44,2.789,,,3.499,PILOT,8654745575,True,True,2026-02-09T03:10:26.211000,1770606626211,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,ASTORIA GEMSTOP|1012 E BROADWAY|ASTORIA,ASTORIA GEMSTOP,1012 E BROADWAY,ASTORIA,IL,61501,40.226786,-90.347006,48.77,2.790,,,,CONOCO,3093292444,False,False,2026-02-07T00:17:25.633000,1770423445633,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,QIK N EZ #50|2800 N PEORIA RD|SPRINGFIELD,QIK N EZ #50,2800 N PEORIA RD,SPRINGFIELD,IL,62702-1250,39.83926,-89.634,2.71,2.799,,,3.499,QIK N EZ,2177531827,False,False,2026-02-07T20:48:00.530000,1770497280530,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,BP 1873421|1108 W ELDORADO ST 1|DECATUR,BP 1873421,1108 W ELDORADO ST 1,DECATUR,IL,62522-2016,39.845535,-88.973171,32.44,2.799,,,,BP PRODUCTS NA,2174245189,True,True,2026-02-08T19:54:58.423000,1770580498423,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,RAYS CORNER MARKET L|605 W ELDORADO ST|DECATUR,RAYS CORNER MARKET L,605 W ELDORADO ST,DECATUR,IL,62522-2118,39.845679,-88.963677,32.94,2.799,,,,MARATHON,2174222580,False,False,2026-02-03T19:27:38.999000,1770146858999,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,THORNTONS #222382|612 E MOUND RD|DECATUR,THORNTONS #222382,612 E MOUND RD,DECATUR,IL,62526-1949,39.891415,-88.950148,33.89,2.799,,,3.599,THORNTONS,2178754204,True,True,2026-02-08T23:30:56.578000,1770593456578,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 0045|1315 KOESTER DR|FORSYTH,CIRCLE K # 0045,1315 KOESTER DR,FORSYTH,IL,62535-9625,39.917395,-88.954359,33.94,2.799,,3.899,3.599,CIRCLE K,2178753647,True,True,2026-02-09T04:10:58.198000,1770610258198,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,THORNTONS #222381|1707 E PERSHING RD|DECATUR,THORNTONS #222381,1707 E PERSHING RD,DECATUR,IL,62526-2811,39.87736,-88.93313,34.69,2.799,,,3.499,THORNTONS,2178778646,True,True,2026-02-08T19:00:35.556000,1770577235556,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,ROAD RANGER 185|501 S MAIN ST|MCLEAN,ROAD RANGER 185,501 S MAIN ST,MCLEAN,IL,61754-7602,40.311597,-89.16828,39.86,2.799,,3.799,3.499,UNBRANDED,8153877884,True,True,2026-02-08T21:33:24.672000,1770586404672,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1975|1 W 2ND ST|PANA,CASEYS #1975,1 W 2ND ST,PANA,IL,62557-1301,39.38955,-89.08418,40.46,2.799,,,3.699,CASEY'S GENERAL STORE,2175625026,False,False,2026-02-08T22:56:11.750000,1770591371750,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,JACK FLASH PANA|11 S POPLAR ST|PANA,JACK FLASH PANA,11 S POPLAR ST,PANA,IL,62557-1477,39.38968,-89.08019,40.59,2.799,3.199,,3.399,PHILLIPS 66,9999999999,False,False,2026-02-07T21:17:14.342000,1770499034342,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,GOPAL FOODMART INC.|703 JACKSON ST|PANA,GOPAL FOODMART INC.,703 JACKSON ST,PANA,IL,62557-1285,39.390172,-89.071632,40.87,2.799,,,,MARATHON,2175622229,True,True,2026-02-09T02:23:08.532000,1770603788532,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,UJS 1|302 W UNION AVE|LITCHFIELD,UJS 1,302 W UNION AVE,LITCHFIELD,IL,62056-1933,39.1782,-89.65824,45.24,2.799,,,3.399,UNKNOWN,2173246044,False,False,2026-02-09T03:08:02.291000,1770606482291,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1642|RR 2 BOX 123A|TOWER HILL,CASEYS #1642,RR 2 BOX 123A,TOWER HILL,IL,62571-9677,39.38207,-88.95913,45.47,2.799,,,3.299,CASEY'S GENERAL STORE,5153814756,False,False,2026-02-07T21:55:48.115000,1770501348115,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,1 STOP SHOP|304 W BROADWAY|ASTORIA,1 STOP SHOP,304 W BROADWAY,ASTORIA,IL,61501,40.22696,-90.36102,49.39,2.799,,,3.799,UNBRANDED,3093292929,False,False,2026-02-07T19:02:16.422000,1770490936422,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SHELL SERVICE STATIO|450 S STATE ST|ROCHESTER,SHELL SERVICE STATIO,450 S STATE ST,ROCHESTER,IL,62563,39.746568,-89.530666,6.46,2.802,,,,SHELL,2174987696,True,True,2026-02-09T04:15:14.460000,1770610514460,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SHELL SERVICE STATIO|215 1ST ST|PANA,SHELL SERVICE STATIO,215 1ST ST,PANA,IL,62557-1407,39.390117,-89.079832,40.58,2.802,,,,SHELL,2175625335,False,False,2026-02-07T12:38:36.407000,1770467916407,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SAMS CLUB #8215|2300 W WHITE OAKS DR|SPRINGFIELD,SAMS CLUB #8215,2300 W WHITE OAKS DR,SPRINGFIELD,IL,62704-6423,39.77195,-89.70966,7.79,2.809,,3.699,,UNKNOWN,2177874126,True,True,2026-02-08T19:08:29.495000,1770577709495,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2820|310 S JACKSON ST|CERRO GORDO,CASEYS #2820,310 S JACKSON ST,CERRO GORDO,IL,61818-4347,39.88845,-88.72641,45.67,2.809,,,3.589,CASEY'S GENERAL STORE,2174720553,True,True,2026-02-08T20:39:14.680000,1770583154680,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,LINCOLN MOTOMRT 3150|610 SOUTH GRAND AVE E|SPRINGFIELD,LINCOLN MOTOMRT 3150,610 SOUTH GRAND AVE E,SPRINGFIELD,IL,62703-2537,39.7871,-89.64766,4.51,2.819,3.219,3.619,3.799,UNBRANDED,2175288649,False,True,2026-02-09T04:04:00.399000,1770609840399,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K SITE #1440|1940 S MACARTHUR BLVD|SPRINGFIELD,CIRCLE K SITE #1440,1940 S MACARTHUR BLVD,SPRINGFIELD,IL,62704,39.779348,-89.66829,5.69,2.819,,3.939,,CIRCLE K,2175232436,False,True,2026-02-08T23:49:34.746000,1770594574746,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,QIK N EZ #55|1101 ADLAI STEVENSON DR|SPRINGFIELD,QIK N EZ #55,1101 ADLAI STEVENSON DR,SPRINGFIELD,IL,62703-4221,39.75745,-89.639812,5.85,2.819,3.319,,3.699,QIK N EZ,2175290002,False,True,2026-02-09T03:47:41.273000,1770608861273,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,THORNTONS #222373|3005 S 6TH ST|SPRINGFIELD,THORNTONS #222373,3005 S 6TH ST,SPRINGFIELD,IL,62703-4025,39.760898,-89.648256,5.89,2.819,,,3.529,THORNTONS,2175441436,False,True,2026-02-09T04:18:16.476000,1770610696476,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #3415|721 W STANFORD AVE|SPRINGFIELD,CASEYS #3415,721 W STANFORD AVE,SPRINGFIELD,IL,62704-7806,39.76482,-89.66477,6.23,2.819,,,3.699,CASEY'S GENERAL STORE,2175288572,False,True,2026-02-09T03:54:57.557000,1770609297557,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,THORNTONS #222371|3001 WABASH AVE|SPRINGFIELD,THORNTONS #222371,3001 WABASH AVE,SPRINGFIELD,IL,62704-6414,39.76313,-89.71011,8.14,2.819,,,3.529,THORNTONS,2175464744,False,True,2026-02-08T20:42:47.583000,1770583367583,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1809|610 W UNION AVE|LITCHFIELD,CASEYS #1809,610 W UNION AVE,LITCHFIELD,IL,62056-1061,39.178232,-89.661682,45.25,2.819,,,3.699,CASEY'S GENERAL STORE,2173249380,False,True,2026-02-09T02:33:56.891000,1770604436891,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1540|720 S STATE ST|LITCHFIELD,CASEYS #1540,720 S STATE ST,LITCHFIELD,IL,62056-2267,39.170462,-89.655472,45.76,2.819,,,3.699,CASEY'S GENERAL STORE,2173243490,False,True,2026-02-09T01:14:20.719000,1770599660719,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,MURPHY 6734 ATWALMRT|2740 N DIRKSEN PKWY|SPRINGFIELD,MURPHY 6734 ATWALMRT,2740 N DIRKSEN PKWY,SPRINGFIELD,IL,62702-1448,39.84013,-89.60444,1.26,2.829,,3.899,,MURPHY USA,8708816817,False,True,2026-02-08T21:16:17.292000,1770585377292,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1913|150 S STATE ROUTE 12|WARRENSBURG,CASEYS #1913,150 S STATE ROUTE 12,WARRENSBURG,IL,62573,39.93648,-89.06471,28.5,2.829,,,3.539,CASEY'S GENERAL STORE,2175715106,False,False,2026-02-07T21:25:37.820000,1770499537820,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SHELL SERVICE STATIO|3603 E WILLIAM STREET RD|DECATUR,SHELL SERVICE STATIO,3603 E WILLIAM STREET RD,DECATUR,IL,62521-1658,39.84934,-88.90142,36.25,2.829,,,,SHELL,2174280259,False,False,2026-02-06T21:58:04.284000,1770415084284,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,C H SMITH AND SONS I|436 SOUTH GRAND AVE E|SPRINGFIELD,C H SMITH AND SONS I,436 SOUTH GRAND AVE E,SPRINGFIELD,IL,62703-2509,39.787073,-89.650239,4.61,2.839,,4.289,,SHELL,2175258473,False,True,2026-02-09T01:01:30.039000,1770598890039,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,PETERSBURG|14178 IL 97|PETERSBURG,PETERSBURG,14178 IL 97,PETERSBURG,IL,62675,40.00101,-89.83838,17.89,2.839,,,,PHILLIPS 66,2176327787,False,True,2026-02-08T16:52:45.415000,1770569565415,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASS QUICK STOP|13412 IL 78|CHANDLERVILLE,CASS QUICK STOP,13412 IL 78,CHANDLERVILLE,IL,62627,40.05881,-90.13884,33.35,2.839,,,,UNBRANDED,2174582653,False,False,2026-02-06T20:24:47.973000,1770409487973,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,BP 1829266|709 RT 36|ILLIOPOLIS,BP 1829266,709 RT 36,ILLIOPOLIS,IL,62539,39.85163,-89.24803,17.9,2.849,,,3.439,BP PRODUCTS NA,2174867901,False,False,2026-02-08T02:34:11.638000,1770518051638,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,GANSHYAM INC.|120 W PARK ST|TAYLORVILLE,GANSHYAM INC.,120 W PARK ST,TAYLORVILLE,IL,62568-1547,39.55226,-89.295451,24.6,2.849,,3.899,,MARATHON,2172871231,False,False,2026-02-06T19:05:17.494000,1770404717494,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1713|224 E CHESTNUT ST|MASON CITY,CASEYS #1713,224 E CHESTNUT ST,MASON CITY,IL,62664-1428,40.202364,-89.696062,26.37,2.849,,,,CASEY'S GENERAL STORE,2174825087,False,True,2026-02-09T02:36:19.112000,1770604579112,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,DECATUR MARATHON|3595 LARKDALE CT|DECATUR,DECATUR MARATHON,3595 LARKDALE CT,DECATUR,IL,62526-2292,39.887804,-88.916574,35.63,2.849,,,3.599,MARATHON,2178751740,False,False,2026-02-06T23:26:08.659000,1770420368659,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,ROAD RANGER 118|3752 CAMP BUTLER RD|SPRINGFIELD,ROAD RANGER 118,3752 CAMP BUTLER RD,SPRINGFIELD,IL,62707-8800,39.83146,-89.58264,0.11,2.859,3.559,,3.649,UNBRANDED,2177899637,False,True,2026-02-08T22:38:24.614000,1770590304614,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 00190|2201 N DIRKSEN PKWY|SPRINGFIELD,CIRCLE K # 00190,2201 N DIRKSEN PKWY,SPRINGFIELD,IL,62702-1401,39.83149,-89.60482,1.09,2.859,3.659,,,CIRCLE K,2175228216,False,True,2026-02-09T02:36:49.082000,1770604609082,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 01303|2120 N DIRKSEN PKWY|SPRINGFIELD,CIRCLE K # 01303,2120 N DIRKSEN PKWY,SPRINGFIELD,IL,62702-2121,39.8306,-89.60485,1.09,2.859,,,3.549,CIRCLE K,2175280284,False,True,2026-02-08T16:17:21.923000,1770567441923,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2285|3001 RIDGE AVE|SPRINGFIELD,CASEYS #2285,3001 RIDGE AVE,SPRINGFIELD,IL,62702-4559,39.818345,-89.606344,1.44,2.859,,,3.549,CASEY'S GENERAL STORE,2175288754,False,True,2026-02-08T22:45:11.554000,1770590711554,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 00188|3261 E CLEAR LAKE AVE|SPRINGFIELD,CIRCLE K # 00188,3261 E CLEAR LAKE AVE,SPRINGFIELD,IL,62702-6207,39.80201,-89.60187,2.18,2.859,3.699,3.999,,CIRCLE K,2175233366,False,True,2026-02-09T00:39:27.258000,1770597567258,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2939|3001 E CLEAR LAKE AVE|SPRINGFIELD,CASEYS #2939,3001 E CLEAR LAKE AVE,SPRINGFIELD,IL,62702-6012,39.802,-89.61051,2.41,2.859,,,3.699,CASEY'S GENERAL STORE,2175715269,False,True,2026-02-09T04:23:40.827000,1770611020827,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,FREEDOM OIL #59|3975 N DIRKSEN PKWY|SPRINGFIELD,FREEDOM OIL #59,3975 N DIRKSEN PKWY,SPRINGFIELD,IL,62707-7610,39.85695,-89.61508,2.45,2.859,,,,UNKNOWN,2172804222,False,False,2026-02-06T16:23:45.766000,1770395025766,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2250|3961 N PEORIA RD|SPRINGFIELD,CASEYS #2250,3961 N PEORIA RD,SPRINGFIELD,IL,62702-1030,39.851494,-89.623845,2.55,2.859,,,3.599,CASEY'S GENERAL STORE,2177530420,False,True,2026-02-08T23:05:10.474000,1770591910474,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K SITE #1423|1801 E NORTH GRAND AVE|SPRINGFIELD,CIRCLE K SITE #1423,1801 E NORTH GRAND AVE,SPRINGFIELD,IL,62702-4146,39.81643,-89.63,2.62,2.859,3.699,,3.699,CIRCLE K,2175231984,False,True,2026-02-08T22:26:48.341000,1770589608341,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,THORNTONS #222370|2208 N PEORIA RD|SPRINGFIELD,THORNTONS #222370,2208 N PEORIA RD,SPRINGFIELD,IL,62702-1244,39.831247,-89.636347,2.77,2.859,,,,THORNTONS,2175256613,False,True,2026-02-08T22:12:58.531000,1770588778531,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,RIVERTON|1300 N 7TH ST|RIVERTON,RIVERTON,1300 N 7TH ST,RIVERTON,IL,62561,39.86028,-89.53965,3.14,2.859,,,,PHILLIPS 66,2176297567,False,False,2026-02-06T21:37:42.189000,1770413862189,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,QIK N EZ 71|430 NORTH GRAND AVE E|SPRINGFIELD,QIK N EZ 71,430 NORTH GRAND AVE E,SPRINGFIELD,IL,62702-3825,39.816229,-89.650177,3.63,2.859,,,3.699,QIK N EZ,2177534300,False,True,2026-02-09T03:30:51.774000,1770607851774,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #2587|270 CROSSING DR|SHERMAN,CASEYS #2587,270 CROSSING DR,SHERMAN,IL,62684-9671,39.89397,-89.60357,4.5,2.859,,,3.599,CASEY'S GENERAL STORE,2175592786,False,True,2026-02-08T23:05:01.911000,1770591901911,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,BP 1486700|220 N STATE ST|ROODHOUSE,BP 1486700,220 N STATE ST,ROODHOUSE,IL,62082-1011,39.485511,-90.372251,48.22,2.859,,,3.599,BP PRODUCTS NA,2175894999,False,False,2026-02-07T17:29:35.717000,1770485375717,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SHELL SERVICE STATIO|2855 OVERPASS RD|RIVERTON,SHELL SERVICE STATIO,2855 OVERPASS RD,RIVERTON,IL,62561,39.84152,-89.52055,3.46,2.860,3.261,,3.709,SHELL,2176067666,False,True,2026-02-09T03:43:15.599000,1770608595599,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,SHELL SERVICE STATIO|1207 E WOOD ST|DECATUR,SHELL SERVICE STATIO,1207 E WOOD ST,DECATUR,IL,62521-2856,39.840602,-88.940294,34.17,2.860,,3.859,,SHELL,2177065440,False,False,2026-02-07T13:04:37.479000,1770469477479,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,QIK N EZ #59|4401 WABASH AVE|SPRINGFIELD,QIK N EZ #59,4401 WABASH AVE,SPRINGFIELD,IL,62711-7163,39.756354,-89.732893,9.41,2.869,3.369,3.869,3.699,QIK N EZ,2177269089,False,True,2026-02-08T22:04:58.645000,1770588298645,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,MACH. 1 9 CLINTON|303 W VAN BUREN ST|CLINTON,MACH. 1 9 CLINTON,303 W VAN BUREN ST,CLINTON,IL,61727-2237,40.148067,-88.96339,39.52,2.869,,,,PHILLIPS 66,2173987500,False,True,2026-02-09T02:00:07.966000,1770602407966,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CASEYS #1542|620 S STATE ST|ROODHOUSE,CASEYS #1542,620 S STATE ST,ROODHOUSE,IL,62082-1546,39.47952,-90.376278,48.61,2.869,,,,CASEY'S GENERAL STORE,2175894019,False,True,2026-02-08T23:55:37.652000,1770594937652,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CIRCLE K # 01304|2641 W MONROE ST|SPRINGFIELD,CIRCLE K # 01304,2641 W MONROE ST,SPRINGFIELD,IL,62704-1321,39.78888,-89.70347,6.95,2.879,,3.799,3.799,CIRCLE K,2177266491,False,True,2026-02-08T21:00:15.288000,1770584415288,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,HUCK'S 262|2801 LINDBERGH BLVD|SPRINGFIELD,HUCK'S 262,2801 LINDBERGH BLVD,SPRINGFIELD,IL,62704-6535,39.75315,-89.70719,8.44,2.879,3.229,,,MARTIN & BAYLEY,2177938887,False,True,2026-02-09T04:25:29.039000,1770611129039,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,MEIJER 176|2700 RECREATION DR|SPRINGFIELD,MEIJER 176,2700 RECREATION DR,SPRINGFIELD,IL,62711,39.76109,-89.73141,9.17,2.879,,,,UNBRANDED,2175472429,False,False,2026-02-08T00:58:53.344000,1770512333344,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,CLINTON FOOD AND GAS|100 N GRANT ST|CLINTON,CLINTON FOOD AND GAS,100 N GRANT ST,CLINTON,IL,61727-1600,40.15261,-88.96409,39.66,2.879,,,,MARATHON,2179356074,False,False,2026-02-03T18:50:17.667000,1770144617667,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,FASMART 569|506 E ELM ST|GILLESPIE,FASMART 569,506 E ELM ST,GILLESPIE,IL,62033-1438,39.133946,-89.812827,49.65,2.879,,,,PHILLIPS 66,8047301568,False,False,2026-02-07T18:00:55.155000,1770487255155,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,AUBURN QUICK & EZ|310 E JACKSON ST|AUBURN,AUBURN QUICK & EZ,310 E JACKSON ST,AUBURN,IL,62615-9328,39.58926,-89.73744,18.55,2.889,,,,UNKNOWN,2174382922,False,False,2026-02-07T12:25:46.691000,1770467146691,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,ROAD RANGER 266|700 KING RD|NEW BERLIN,ROAD RANGER 266,700 KING RD,NEW BERLIN,IL,62670-4329,39.73185,-89.92427,19.3,2.889,,,3.699,UNBRANDED,8152099009,False,True,2026-02-08T22:47:23.715000,1770590843715,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,QIK N EZ #57|102 COMFORT DR|SOUTH JACKSONVILLE,QIK N EZ #57,102 COMFORT DR,SOUTH JACKSONVILLE,IL,62650-9304,39.69234,-90.228788,35.54,2.889,,,3.599,QIK N EZ,2175235050,False,True,2026-02-09T01:33:52.592000,1770600832592,No,
"Road Ranger #118 - Springfield, IL",39.8304811,-89.5842419,PEORIA RD.|3840 N PEORIA RD|SPRINGFIELD,PEORIA RD.,3840 N PEORIA RD,SPRINGFIELD,IL,62702-1029,39.851147,-89.624373,2.56,2.899,3.199,,,PHILLIPS 66,9999999999,False,True,2026-02-09T04:13:20.238000,1770610400238,No,
